date,value
1996-08-29,50.508
1996-08-30,42.6548
1996-09-03,46.8553
1996-09-04,48.3814
1996-09-05,40.535
1996-09-06,51.2699
1996-09-09,63.546
1996-09-10,63.8972
1996-09-11,60.6928
1996-09-12,72.83
1996-09-13,80.0142
1996-09-16,82.0705
1996-09-17,80.6398
1996-09-18,77.6666
1996-09-19,77.6744
1996-09-20,82.1675
1996-09-23,78.0076
1996-09-24,75.4048
1996-09-25,74.44
1996-09-26,72.0363
1996-09-27,72.0099
1996-09-30,71.1145
1996-10-01,71.8394
1996-10-02,75.6409
1996-10-03,71.7554
1996-10-04,78.1893
1996-10-07,77.133
1996-10-08,74.0975
1996-10-09,69.948
1996-10-10,66.1334
1996-10-11,70.5596
1996-10-14,70.6705
1996-10-15,68.3213
1996-10-16,69.8435
1996-10-17,71.3643
1996-10-18,71.9763
1996-10-21,69.1462
1996-10-22,66.4261
1996-10-23,66.3499
1996-10-24,60.7468
1996-10-25,59.3437
1996-10-28,52.6625
1996-10-29,57.3137
1996-10-30,54.9415
1996-10-31,59.3664
1996-11-01,58.8124
1996-11-04,60.6558
1996-11-05,66.7637
1996-11-06,74.041
1996-11-07,75.9642
1996-11-08,77.8635
1996-11-11,76.9112
1996-11-12,75.8499
1996-11-13,75.4767
1996-11-14,78.0824
1996-11-15,79.2071
1996-11-18,75.283
1996-11-19,78.6192
1996-11-20,78.8405
1996-11-21,76.7128
1996-11-22,80.0656
1996-11-25,81.6226
1996-11-26,79.7281
1996-11-27,78.4155
1996-11-29,78.4005
1996-12-02,75.9076
1996-12-03,69.9809
1996-12-04,66.306
1996-12-05,67.3015
1996-12-06,60.3074
1996-12-09,67.9261
1996-12-10,65.4082
1996-12-11,54.5187
1996-12-12,43.1019
1996-12-13,41.6489
1996-12-16,34.7993
1996-12-17,40.5375
1996-12-18,45.0535
1996-12-19,60.7659
1996-12-20,65.9037
1996-12-23,58.6985
1996-12-24,62.9387
1996-12-26,67.2354
1996-12-27,67.4625
1996-12-30,62.6351
1996-12-31,47.0299
1997-01-02,41.2823
1997-01-03,53.0074
1997-01-06,48.7949
1997-01-07,60.6413
1997-01-08,55.8265
1997-01-09,62.62
1997-01-10,64.4304
1997-01-13,63.3734
1997-01-14,71.6616
1997-01-15,67.5897
1997-01-16,69.3906
1997-01-17,73.9902
1997-01-20,72.2351
1997-01-21,75.3381
1997-01-22,74.5064
1997-01-23,66.7729
1997-01-24,59.0742
1997-01-27,50.7267
1997-01-28,49.074
1997-01-29,55.3208
1997-01-30,65.8279
1997-01-31,65.182
1997-02-03,65.406
1997-02-04,64.5865
1997-02-05,56.093
1997-02-06,56.7512
1997-02-07,65.1093
1997-02-10,62.1672
1997-02-11,65.0162
1997-02-12,74.1665
1997-02-13,79.6653
1997-02-14,77.8325
1997-02-18,78.6149
1997-02-19,73.0661
1997-02-20,66.5008
1997-02-21,66.9264
1997-02-24,72.4771
1997-02-25,71.0766
1997-02-26,63.9625
1997-02-27,56.3223
1997-02-28,52.7217
1997-03-03,55.1573
1997-03-04,52.9197
1997-03-05,62.3122
1997-03-06,58.2427
1997-03-07,64.5127
1997-03-10,69.5648
1997-03-11,68.3752
1997-03-12,62.7709
1997-03-13,50.7527
1997-03-14,55.5239
1997-03-17,57.7378
1997-03-18,51.0896
1997-03-19,37.5994
1997-03-20,34.3289
1997-03-21,36.1201
1997-03-24,44.5242
1997-03-25,42.7293
1997-03-26,44.1289
1997-03-27,26.0775
1997-03-31,13.0036
1997-04-01,15.9216
1997-04-02,9.6204
1997-04-03,8.6471
1997-04-04,15.861
1997-04-07,20.871
1997-04-08,24.7488
1997-04-09,20.761
1997-04-10,19.2728
1997-04-11,6.0075
1997-04-14,9.9897
1997-04-15,21.0162
1997-04-16,30.4921
1997-04-17,27.7979
1997-04-18,32.8116
1997-04-21,26.7372
1997-04-22,39.0548
1997-04-23,39.4701
1997-04-24,38.0336
1997-04-25,32.284
1997-04-28,39.9477
1997-04-29,59.872
1997-04-30,67.6194
1997-05-01,64.1376
1997-05-02,92.0316
1997-05-05,95.7426
1997-05-06,92.7165
1997-05-07,78.5235
1997-05-08,80.6088
1997-05-09,82.7983
1997-05-12,88.3628
1997-05-13,82.9684
1997-05-14,83.6965
1997-05-15,86.9861
1997-05-16,75.9602
1997-05-19,76.3396
1997-05-20,81.4562
1997-05-21,79.2658
1997-05-22,75.5934
1997-05-23,82.9538
1997-05-27,83.2447
1997-05-28,81.2321
1997-05-29,78.4788
1997-05-30,82.0157
1997-06-02,78.8601
1997-06-03,78.1653
1997-06-04,74.6569
1997-06-05,76.3246
1997-06-06,84.525
1997-06-09,87.0496
1997-06-10,87.3296
1997-06-11,87.5333
1997-06-12,91.5875
1997-06-13,93.184
1997-06-16,91.8857
1997-06-17,90.7914
1997-06-18,86.8714
1997-06-19,89.5346
1997-06-20,88.7537
1997-06-23,73.5512
1997-06-24,82.8892
1997-06-25,76.8316
1997-06-26,72.7071
1997-06-27,74.4896
1997-06-30,71.139
1997-07-01,75.3169
1997-07-02,82.2389
1997-07-03,87.6675
1997-07-07,82.0037
1997-07-08,84.0552
1997-07-09,76.1962
1997-07-10,79.6917
1997-07-11,81.3353
1997-07-14,79.436
1997-07-15,80.9117
1997-07-16,84.952
1997-07-17,79.5507
1997-07-18,68.3739
1997-07-21,64.2459
1997-07-22,78.1606
1997-07-23,78.1451
1997-07-24,78.4952
1997-07-25,77.6935
1997-07-28,75.4175
1997-07-29,78.2118
1997-07-30,83.8065
1997-07-31,83.8287
1997-08-01,76.7845
1997-08-04,77.7506
1997-08-05,77.8696
1997-08-06,82.3818
1997-08-07,75.0828
1997-08-08,61.1577
1997-08-11,64.5729
1997-08-12,56.1424
1997-08-13,51.9587
1997-08-14,52.6443
1997-08-15,31.6168
1997-08-18,39.9796
1997-08-19,52.0019
1997-08-20,63.3841
1997-08-21,49.7021
1997-08-22,47.6724
1997-08-25,43.8427
1997-08-26,39.2558
1997-08-27,41.3187
1997-08-28,33.543
1997-08-29,30.8359
1997-09-02,58.7452
1997-09-03,58.3646
1997-09-04,60.1352
1997-09-05,57.7699
1997-09-08,58.5795
1997-09-09,60.5296
1997-09-10,48.6107
1997-09-11,42.6069
1997-09-12,52.458
1997-09-15,49.727
1997-09-16,70.6953
1997-09-17,69.0195
1997-09-18,71.3053
1997-09-19,71.8786
1997-09-22,72.5258
1997-09-23,68.3911
1997-09-24,62.5725
1997-09-25,57.9157
1997-09-26,61.7311
1997-09-29,68.4676
1997-09-30,63.0265
1997-10-01,67.4816
1997-10-02,69.6644
1997-10-03,71.8992
1997-10-06,73.3505
1997-10-07,77.7823
1997-10-08,69.802
1997-10-09,68.7018
1997-10-10,66.1666
1997-10-13,65.9321
1997-10-14,67.1201
1997-10-15,63.6272
1997-10-16,55.4645
1997-10-17,46.0612
1997-10-20,55.6536
1997-10-21,67.1108
1997-10-22,63.1758
1997-10-23,49.1057
1997-10-24,41.5323
1997-10-27,1.8693
1997-10-28,21.4341
1997-10-29,21.3381
1997-10-30,10.13
1997-10-31,21.5096
1997-11-03,44.0554
1997-11-04,45.2784
1997-11-05,47.2887
1997-11-06,44.1994
1997-11-07,32.1602
1997-11-10,30.5755
1997-11-11,34.0865
1997-11-12,21.7907
1997-11-13,28.6271
1997-11-14,37.9237
1997-11-17,51.7332
1997-11-18,42.9357
1997-11-19,47.1828
1997-11-20,57.949
1997-11-21,60.5779
